rating,review_text
3,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,직원 분들이 매우 친절하셔서 좋았습니다.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,청결하고 편안한 환경이 마음에 들었어요.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,직원 분들이 매우 친절하셔서 좋았습니다.
3,청결하고 편안한 환경이 마음에 들었어요.
3,청결하고 편안한 환경이 마음에 들었어요.
3,청결하고 편안한 환경이 마음에 들었어요.
4,아이와 함께 편하게 이용했습니다.
4,아이와 함께 편하게 이용했습니다.
5,직원 분들이 매우 친절하셔서 좋았습니다.
5,직원 분들이 매우 친절하셔서 좋았습니다.
3,아이와 함께 편하게 이용했습니다.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,아이와 함께 편하게 이용했습니다.
3,직원 분들이 매우 친절하셔서 좋았습니다.
3,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,직원 분들이 매우 친절하셔서 좋았습니다.
3,아이와 함께 편하게 이용했습니다.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
5,직원 분들이 매우 친절하셔서 좋았습니다.
4,청결하고 편안한 환경이 마음에 들었어요.
4,직원 분들이 매우 친절하셔서 좋았습니다.
3,아이와 함께 편하게 이용했습니다.
4,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,청결하고 편안한 환경이 마음에 들었어요.
3,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,아이와 함께 편하게 이용했습니다.
3,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
5,아이와 함께 편하게 이용했습니다.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
3,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,청결하고 편안한 환경이 마음에 들었어요.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,청결하고 편안한 환경이 마음에 들었어요.
3,직원 분들이 매우 친절하셔서 좋았습니다.
3,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,청결하고 편안한 환경이 마음에 들었어요.
4,직원 분들이 매우 친절하셔서 좋았습니다.
3,아이와 함께 편하게 이용했습니다.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,아이와 함께 편하게 이용했습니다.
4,청결하고 편안한 환경이 마음에 들었어요.
3,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,청결하고 편안한 환경이 마음에 들었어요.
3,직원 분들이 매우 친절하셔서 좋았습니다.
5,청결하고 편안한 환경이 마음에 들었어요.
3,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,직원 분들이 매우 친절하셔서 좋았습니다.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
3,아이와 함께 편하게 이용했습니다.
5,청결하고 편안한 환경이 마음에 들었어요.
5,아이와 함께 편하게 이용했습니다.
3,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,청결하고 편안한 환경이 마음에 들었어요.
4,청결하고 편안한 환경이 마음에 들었어요.
5,직원 분들이 매우 친절하셔서 좋았습니다.
3,아이와 함께 편하게 이용했습니다.
3,청결하고 편안한 환경이 마음에 들었어요.
3,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
5,아이와 함께 편하게 이용했습니다.
5,아이와 함께 편하게 이용했습니다.
4,직원 분들이 매우 친절하셔서 좋았습니다.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
3,아이와 함께 편하게 이용했습니다.
3,직원 분들이 매우 친절하셔서 좋았습니다.
4,청결하고 편안한 환경이 마음에 들었어요.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
3,아이와 함께 편하게 이용했습니다.
4,청결하고 편안한 환경이 마음에 들었어요.
3,청결하고 편안한 환경이 마음에 들었어요.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,아이와 함께 편하게 이용했습니다.
3,청결하고 편안한 환경이 마음에 들었어요.
3,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,직원 분들이 매우 친절하셔서 좋았습니다.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,직원 분들이 매우 친절하셔서 좋았습니다.
4,아이와 함께 편하게 이용했습니다.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,아이와 함께 편하게 이용했습니다.
5,청결하고 편안한 환경이 마음에 들었어요.
4,청결하고 편안한 환경이 마음에 들었어요.
3,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
3,청결하고 편안한 환경이 마음에 들었어요.
3,아이와 함께 편하게 이용했습니다.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
3,아이와 함께 편하게 이용했습니다.
3,청결하고 편안한 환경이 마음에 들었어요.
4,청결하고 편안한 환경이 마음에 들었어요.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,아이와 함께 편하게 이용했습니다.
3,아이와 함께 편하게 이용했습니다.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
3,이용하기 쉬웠고 분위기도 매우 좋았어요.
3,청결하고 편안한 환경이 마음에 들었어요.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,청결하고 편안한 환경이 마음에 들었어요.
3,청결하고 편안한 환경이 마음에 들었어요.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,청결하고 편안한 환경이 마음에 들었어요.
3,아이와 함께 편하게 이용했습니다.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,청결하고 편안한 환경이 마음에 들었어요.
4,아이와 함께 편하게 이용했습니다.
5,직원 분들이 매우 친절하셔서 좋았습니다.
4,아이와 함께 편하게 이용했습니다.
3,청결하고 편안한 환경이 마음에 들었어요.
4,청결하고 편안한 환경이 마음에 들었어요.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,청결하고 편안한 환경이 마음에 들었어요.
3,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,청결하고 편안한 환경이 마음에 들었어요.
5,청결하고 편안한 환경이 마음에 들었어요.
5,청결하고 편안한 환경이 마음에 들었어요.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,직원 분들이 매우 친절하셔서 좋았습니다.
3,아이와 함께 편하게 이용했습니다.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,청결하고 편안한 환경이 마음에 들었어요.
3,아이와 함께 편하게 이용했습니다.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
3,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,직원 분들이 매우 친절하셔서 좋았습니다.
4,직원 분들이 매우 친절하셔서 좋았습니다.
3,청결하고 편안한 환경이 마음에 들었어요.
3,이용하기 쉬웠고 분위기도 매우 좋았어요.
3,아이와 함께 편하게 이용했습니다.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
3,청결하고 편안한 환경이 마음에 들었어요.
5,직원 분들이 매우 친절하셔서 좋았습니다.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,아이와 함께 편하게 이용했습니다.
3,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,직원 분들이 매우 친절하셔서 좋았습니다.
5,직원 분들이 매우 친절하셔서 좋았습니다.
3,직원 분들이 매우 친절하셔서 좋았습니다.
3,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,이용하기 쉬웠고 분위기도 매우 좋았어요.
3,아이와 함께 편하게 이용했습니다.
5,청결하고 편안한 환경이 마음에 들었어요.
3,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,아이와 함께 편하게 이용했습니다.
3,이용하기 쉬웠고 분위기도 매우 좋았어요.
3,직원 분들이 매우 친절하셔서 좋았습니다.
3,청결하고 편안한 환경이 마음에 들었어요.
4,직원 분들이 매우 친절하셔서 좋았습니다.
5,아이와 함께 편하게 이용했습니다.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,아이와 함께 편하게 이용했습니다.
3,청결하고 편안한 환경이 마음에 들었어요.
4,직원 분들이 매우 친절하셔서 좋았습니다.
3,아이와 함께 편하게 이용했습니다.
5,청결하고 편안한 환경이 마음에 들었어요.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,청결하고 편안한 환경이 마음에 들었어요.
4,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,직원 분들이 매우 친절하셔서 좋았습니다.
5,청결하고 편안한 환경이 마음에 들었어요.
3,아이와 함께 편하게 이용했습니다.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
5,청결하고 편안한 환경이 마음에 들었어요.
3,직원 분들이 매우 친절하셔서 좋았습니다.
5,직원 분들이 매우 친절하셔서 좋았습니다.
4,청결하고 편안한 환경이 마음에 들었어요.
4,아이와 함께 편하게 이용했습니다.
3,아이와 함께 편하게 이용했습니다.
3,아이와 함께 편하게 이용했습니다.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,청결하고 편안한 환경이 마음에 들었어요.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,직원 분들이 매우 친절하셔서 좋았습니다.
5,아이와 함께 편하게 이용했습니다.
5,직원 분들이 매우 친절하셔서 좋았습니다.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
3,아이와 함께 편하게 이용했습니다.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
5,아이와 함께 편하게 이용했습니다.
3,직원 분들이 매우 친절하셔서 좋았습니다.
3,직원 분들이 매우 친절하셔서 좋았습니다.
5,직원 분들이 매우 친절하셔서 좋았습니다.
3,청결하고 편안한 환경이 마음에 들었어요.
3,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,아이와 함께 편하게 이용했습니다.
3,아이와 함께 편하게 이용했습니다.
3,직원 분들이 매우 친절하셔서 좋았습니다.
3,청결하고 편안한 환경이 마음에 들었어요.
4,청결하고 편안한 환경이 마음에 들었어요.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,아이와 함께 편하게 이용했습니다.
4,아이와 함께 편하게 이용했습니다.
3,직원 분들이 매우 친절하셔서 좋았습니다.
3,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
5,아이와 함께 편하게 이용했습니다.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
4,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,직원 분들이 매우 친절하셔서 좋았습니다.
3,직원 분들이 매우 친절하셔서 좋았습니다.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
4,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,직원 분들이 매우 친절하셔서 좋았습니다.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,청결하고 편안한 환경이 마음에 들었어요.
4,아이와 함께 편하게 이용했습니다.
4,청결하고 편안한 환경이 마음에 들었어요.
4,직원 분들이 매우 친절하셔서 좋았습니다.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,직원 분들이 매우 친절하셔서 좋았습니다.
5,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,청결하고 편안한 환경이 마음에 들었어요.
5,아이와 함께 편하게 이용했습니다.
4,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
3,아이와 함께 편하게 이용했습니다.
4,이용하기 쉬웠고 분위기도 매우 좋았어요.
5,모든 시설이 잘 갖춰져 있어 만족스러웠습니다.
5,직원 분들이 매우 친절하셔서 좋았습니다.
1,아이와 함께 편하게 이용했습니다.
1,직원 분들이 매우 친절하셔서 좋았습니다.
